GarageArea,KitchenQual,YearBuilt,YearRemodAdd,TotalSF
386,TA,1966,1966,1910.0
210,TA,1922,1950,2084.0
572,TA,1955,1955,2112.0
615,Gd,2005,2006,2309.0
865,Gd,2005,2006,3228.0
1390,Ex,2008,2009,4084.0
326,TA,1921,1968,2146.0
240,TA,1948,2001,1957.0
550,TA,1970,1970,3322.0
0,TA,1920,2002,1133.0
300,TA,1959,1959,2300.0
400,Gd,2005,2005,2184.0
588,Ex,1961,2007,1943.0
564,Gd,2005,2006,2250.0
375,TA,1953,1953,2501.0
398,TA,2004,2004,2432.0
836,Ex,2008,2008,3288.0
573,Gd,2003,2003,3120.0
312,Gd,1942,1995,
286,Gd,1970,2002,1260.0
504,TA,1976,1976,2256.0
947,Gd,2006,2006,3235.0
384,TA,1910,2000,1906.0
550,Ex,2007,2007,3794.0
936,Gd,2005,2005,2984.0
898,Gd,2008,2009,2936.0
539,Gd,1977,1977,1734.0
240,TA,1946,1995,1968.0
438,Gd,2006,2007,2642.0
440,TA,1912,1950,2544.0
240,TA,1936,1950,2230.0
624,TA,1958,1958,1728.0
440,Gd,1984,1998,2829.0
264,Gd,1972,2007,1470.0
628,Gd,1989,1990,3729.0
440,TA,1970,1970,2130.0
779,Gd,2002,2002,3418.0
840,Gd,2006,2006,3845.0
352,TA,1957,1957,1814.0
440,TA,1976,1976,
540,TA,1962,1962,2296.0
684,TA,1971,1971,1716.0
516,TA,1973,1973,4446.0
672,Fa,1955,1955,2010.0
409,Gd,1994,1996,2607.0
384,TA,1965,1965,2080.0
461,TA,1960,1960,2532.0
578,Gd,2007,2007,2635.0
888,TA,1976,1976,2046.0
439,TA,1954,2005,2748.0
480,TA,1956,1956,3125.0
839,Gd,1995,1995,4222.0
544,Gd,2002,2002,3146.0
820,Ex,2009,2010,4694.0
645,Gd,1997,1998,3091.0
431,Gd,1996,1997,2582.0
0,TA,1958,2008,1716.0
280,TA,1939,1950,1818.0
246,Fa,1920,1950,728.0
440,TA,1978,1978,2072.0
240,Fa,1938,1950,1874.0
645,TA,1964,1964,2572.0
525,TA,2005,2005,1619.0
0,TA,1965,1965,1664.0
441,Gd,1916,1994,2978.0
380,TA,1934,1998,4159.0
0,TA,1971,1971,2736.0
422,TA,1996,1997,2628.0
576,Gd,1965,2008,1824.0
600,Gd,1988,1989,2970.0
216,Gd,1925,1990,2584.0
397,Gd,2005,2006,2632.0
450,TA,1925,1950,1783.0
240,TA,1940,1950,1890.0
865,Gd,2006,2006,3259.0
400,Gd,2003,2003,1980.0
538,TA,1967,1967,3139.0
525,TA,1963,1963,2248.0
756,TA,1957,2000,2298.0
0,TA,1970,2008,1890.0
704,TA,1890,1998,3272.0
576,Gd,1949,2003,1738.0
668,Gd,2007,2007,2827.0
264,TA,1973,1973,1890.0
534,TA,1977,1977,2777.0
556,Gd,1995,1996,3310.0
487,TA,1971,1971,2968.0
506,TA,1973,1973,3312.0
210,TA,1926,2004,2042.0
390,Gd,2000,2000,3046.0
576,TA,1929,2001,1686.0
286,TA,1973,1973,1638.0
252,Gd,1977,1989,2536.0
550,Gd,1996,1996,2460.0
502,Gd,2003,2003,3325.0
508,Gd,1997,1998,2971.0
306,Gd,1950,1950,1864.0
526,TA,1970,1970,2554.0
630,Gd,2004,2004,3060.0
484,TA,1958,1983,2368.0
528,TA,1982,1982,1700.0
626,Gd,2007,2008,2628.0
868,Gd,2006,2006,3353.0
388,Gd,2004,2005,2278.0
420,Gd,2004,2004,1696.0
240,TA,1940,1997,1344.0
252,Gd,1941,2006,3492.0
180,TA,1916,1987,2172.0
484,Gd,1972,2004,2204.0
740,Gd,2009,2009,2452.0
444,Gd,1966,2007,2919.0
576,Gd,2004,2004,2316.0
480,TA,1966,1966,2308.0
527,Gd,1998,1999,2604.0
431,TA,1995,1996,2431.0
520,Gd,1949,2003,1126.0
300,TA,1955,1955,2209.0
1014,Gd,1935,1997,4175.0
264,TA,1973,1973,1470.0
0,TA,1940,1999,1999.0
505,Gd,1960,2007,2654.0
440,TA,1999,1999,
908,Gd,2006,2007,3952.0
758,Gd,2007,2007,3126.0
288,TA,1926,1950,1683.0
270,TA,1931,2000,2278.0
452,TA,1955,1955,1733.0
706,Ex,2005,2006,4576.0
264,TA,1972,1972,1932.0
586,Gd,1979,1979,2856.0
680,TA,1959,1959,1588.0
430,TA,2006,2007,2250.0
480,Gd,2005,2005,1720.0
520,Gd,2004,2004,2438.0
525,Gd,1994,1994,3350.0
240,TA,1948,2002,1944.0
466,Gd,1995,1995,3148.0
596,TA,1956,1956,
288,Gd,1958,1958,2414.0
484,TA,1929,2001,1852.0
592,Gd,1998,1998,3010.0
240,TA,1950,1950,2328.0
840,TA,1951,1951,1904.0
0,TA,1872,1987,2837.0
540,Gd,1988,2007,2560.0
672,TA,1905,2000,2394.0
480,TA,1970,1970,2008.0
305,TA,1946,1950,1977.0
495,TA,1920,1950,2082.0
440,Fa,1924,1950,2446.0
445,Gd,1986,1986,2906.0
670,Gd,2001,2002,3182.0
825,Gd,2006,2006,3176.0
264,TA,1958,1958,1683.0
368,TA,1961,1961,2100.0
432,TA,1965,1965,1920.0
280,TA,1948,1950,2266.0
462,Gd,1968,1968,2978.0
786,Ex,2007,2007,3452.0
484,Gd,2003,2003,3444.0
484,TA,1990,1990,2648.0
1069,Gd,1998,1998,3734.0
660,Gd,2006,2006,2742.0
396,TA,1972,2007,1536.0
0,Fa,1946,1950,334.0
384,TA,1965,1965,2272.0
405,TA,1998,1998,2574.0
288,TA,1964,1964,1824.0
264,TA,1962,1962,2676.0
240,Gd,1939,1997,2492.0
0,TA,1910,1996,1842.0
308,TA,1910,1950,2814.0
624,Gd,1959,2002,2390.0
576,Gd,1981,1981,2844.0
576,TA,1967,1967,3264.0
451,Gd,2000,2001,3260.0
0,Fa,1915,1982,2026.0
420,TA,1949,1950,1040.0
216,Fa,1915,1950,2453.0
576,Gd,1928,1950,3103.0
418,TA,1953,1953,3060.0
868,Ex,2007,2007,4056.0
520,TA,1919,1950,2588.0
520,TA,1964,1964,2598.0
440,TA,1976,1976,1916.0
370,Gd,1923,2000,2681.0
490,TA,1976,1993,2901.0
400,Gd,1992,1992,2325.0
220,TA,1945,1950,
288,TA,1967,1967,1784.0
240,Gd,1940,1992,1592.0
0,TA,2006,2006,2280.0
483,TA,1963,1963,2576.0
551,Gd,1976,1976,2878.0
812,Ex,2008,2008,3024.0
216,Ex,1920,1950,1382.0
676,Gd,2008,2008,
325,TA,1954,1972,2849.0
442,Gd,1999,1999,2798.0
543,Gd,2003,2003,2652.0
807,Gd,1995,1996,5557.0
403,Gd,1985,1985,
484,TA,1959,1997,3302.0
0,Ex,1970,1970,1260.0
440,Gd,1925,1980,2206.0
384,TA,1900,1950,2037.0
440,TA,1916,1990,2392.0
529,Gd,2007,2008,
296,TA,1962,1962,2530.0
626,Gd,2004,2004,2844.0
501,Gd,1992,1992,3533.0
440,TA,2003,2004,2242.0
852,Gd,2004,2005,3616.0
576,TA,1962,1962,2114.0
602,Gd,1978,1978,2207.0
671,Gd,1999,2007,3422.0
746,Ex,2008,2009,4020.0
440,TA,1978,1978,2058.0
1043,Gd,2005,2006,3035.0
462,Gd,1993,1993,2674.0
648,Gd,2000,2000,3254.0
826,Gd,2007,2008,3423.0
484,TA,1966,1966,2110.0
660,Gd,2007,2007,2928.0
567,Ex,1959,2002,3804.0
693,TA,1990,1991,3730.0
528,TA,1979,1979,2310.0
460,TA,1969,1969,2108.0
676,Gd,1998,1999,3837.0
288,TA,1967,1967,1778.0
484,Ex,1980,1980,
299,TA,1977,1977,2081.0
576,Gd,1961,1995,2264.0
240,TA,1950,1982,3112.0
208,TA,1929,1950,2020.0
502,TA,1920,1999,1973.0
429,Gd,1999,1999,3266.0
250,TA,1920,1950,1966.0
928,Ex,2007,2007,3468.0
312,TA,1959,1959,2388.0
720,TA,1915,1950,2292.0
354,TA,1954,1954,2766.0
871,TA,1949,1950,3003.0
474,Gd,2007,2007,2992.0
660,TA,1941,1960,2588.0
504,TA,1925,2004,1444.0
476,Gd,1985,1985,2473.0
840,Gd,2006,2007,2988.0
180,TA,1926,1950,1946.0
397,Gd,2005,2006,2290.0
0,TA,1914,2001,2226.0
525,Gd,1958,1958,2163.0
686,Gd,1904,2002,2189.0
656,Ex,2005,2007,3626.0
528,TA,1926,1953,1347.0
583,Gd,1998,1998,3205.0
884,Ex,2007,2008,7814.0
624,TA,1937,2000,1874.0
0,TA,1920,1950,1440.0
830,Gd,2007,2008,3160.0
0,TA,1977,1977,2880.0
540,Gd,2005,2005,
570,Gd,2004,2004,3000.0
216,TA,1925,1997,2232.0
884,Gd,1965,1998,2064.0
514,TA,1963,1963,2788.0
484,Gd,1966,2000,2432.0
336,TA,1967,1967,1824.0
864,TA,1918,1950,3994.0
349,TA,1962,1962,2836.0
440,TA,1910,1981,1670.0
440,Gd,1932,1994,3580.0
429,TA,2006,2006,2184.0
660,Gd,1970,1970,1728.0
380,Gd,2004,2006,2679.0
528,Gd,2001,2001,2475.0
656,Gd,1993,1993,3993.0
595,Gd,2003,2003,
420,TA,1900,1970,2677.0
529,Gd,1954,1994,3027.0
504,TA,1963,1963,3456.0
462,Gd,1992,1992,2900.0
440,Gd,1964,1993,2673.0
776,Gd,2006,2006,2978.0
300,TA,1959,1959,1728.0
276,TA,1965,1965,2512.0
816,TA,1982,2003,1632.0
492,Gd,1965,1988,2684.0
833,Gd,1991,1991,3231.0
461,TA,1960,1960,2130.0
312,TA,1923,1950,2400.0
632,Gd,2006,2006,2395.0
642,Gd,2005,2006,3576.0
527,Gd,1996,1996,
0,TA,1930,1950,1512.0
496,Gd,1991,1991,2572.0
450,TA,2005,2006,2180.0
420,Gd,1998,1998,
440,TA,1975,1975,1938.0
1248,TA,1935,1950,1788.0
360,TA,1927,1950,
492,TA,1946,1950,2937.0
895,Gd,2006,2007,3590.0
606,Ex,2009,2010,3870.0
439,Gd,1973,2000,2354.0
400,Fa,1925,1950,2154.0
554,Ex,2008,2008,2845.0
338,TA,1972,1972,1728.0
200,TA,1941,1950,1727.0
420,TA,1993,1993,2150.0
440,TA,1962,1962,2232.0
288,Gd,1959,1959,
498,TA,1954,1990,2594.0
264,Gd,1950,2007,2226.0
577,Gd,1999,1999,2991.0
614,Gd,2009,2009,2303.0
678,Gd,2004,2005,2938.0
908,Gd,2006,2006,3426.0
440,TA,1971,1971,2062.0
455,TA,1996,1997,3130.0
388,Gd,2007,2007,2532.0
716,Ex,2005,2006,4860.0
554,Gd,2000,2000,3208.0
494,Gd,2004,2004,2828.0
471,Gd,1994,1994,2649.0
434,TA,1975,1975,2265.0
528,TA,1920,1950,1826.0
358,TA,1977,1977,2214.0
574,TA,1976,1976,3456.0
711,Gd,1994,2005,4077.0
452,Ex,1968,2003,2910.0
400,Gd,1990,1991,2873.0
400,Gd,2005,2005,2022.0
484,Gd,2006,2006,2740.0
480,TA,1967,1976,3404.0
380,Gd,2004,2004,2679.0
264,TA,1971,1971,
216,TA,1920,1950,2595.0
360,TA,1932,1950,3297.0
264,TA,1963,2003,2127.0
533,Gd,1993,1994,3221.0
336,TA,1957,1957,2488.0
252,Fa,1922,1950,1880.0
480,Gd,2005,2005,1743.0
612,TA,1980,1980,3372.0
800,Gd,2007,2008,3284.0
264,TA,1961,1983,2008.0
639,Gd,2006,2006,2736.0
462,TA,1962,1962,1224.0
839,Gd,2000,2000,2857.0
308,TA,1958,1992,2112.0
820,Ex,2008,2009,5066.0
492,TA,1977,1995,1718.0
636,Gd,2004,2005,3380.0
413,TA,1997,1997,2313.0
246,Gd,1953,2007,2114.0
560,TA,1885,1950,3067.0
786,Gd,1988,1988,3387.0
594,Gd,1990,1990,4895.0
512,Gd,1996,1996,2596.0
457,TA,1967,1967,2714.0
437,Gd,2005,2006,2850.0
648,Gd,2003,2004,
462,Gd,1999,2000,1852.0
264,Gd,1962,2001,1998.0
528,TA,1910,1950,1985.0
490,TA,1966,1966,2292.0
702,Gd,2002,2002,3294.0
853,Gd,2005,2006,3534.0
352,TA,1900,1950,1980.0
388,TA,1997,1997,2264.0
532,Gd,2005,2005,3082.0
0,Fa,1955,1955,2880.0
438,Gd,2003,2003,2014.0
481,Ex,1995,1996,2988.0
738,Ex,2004,2005,
186,TA,1921,1950,2074.0
683,Gd,1998,1999,3480.0
540,TA,1964,1978,2793.0
504,Gd,1987,1987,2831.0
550,Gd,2006,2006,
330,TA,1948,1950,2370.0
440,Gd,2006,2006,2628.0
529,Gd,1992,1992,3150.0
912,Ex,2007,2008,3240.0
304,TA,1957,1989,2892.0
240,TA,1966,1966,1727.0
500,TA,1978,1988,3615.0
492,Gd,1999,2000,2217.0
225,TA,1916,1950,2505.0
576,TA,1956,1987,2625.0
508,TA,1968,2003,3724.0
0,TA,1925,1950,1728.0
336,TA,1976,1976,1648.0
746,Gd,1990,1991,2943.0
210,TA,1925,1950,2014.0
216,TA,1927,2007,1624.0
384,TA,1915,2003,2094.0
834,Ex,2010,2010,3712.0
789,Ex,2007,2007,3743.0
529,Gd,1977,2000,3204.0
280,TA,1971,1971,1932.0
393,Gd,2002,2003,2292.0
352,TA,1962,1962,1824.0
420,TA,1947,1950,
576,TA,1925,1950,2875.0
220,TA,1945,1950,1494.0
420,TA,1950,1950,1040.0
493,Gd,2002,2002,2491.0
308,Gd,1924,1950,2717.0
720,Gd,1950,2002,1728.0
264,TA,1984,1984,1496.0
564,Gd,2001,2001,2755.0
474,Gd,2003,2003,2390.0
472,Ex,2006,2006,2960.0
870,Gd,1880,2002,4963.0
840,Ex,2006,2007,3304.0
350,TA,1958,1958,2552.0
271,TA,1950,2005,
0,TA,1949,1950,1912.0
504,Gd,1983,1983,1724.0
454,TA,1988,1989,
392,TA,1955,2007,827.0
532,Gd,1910,1993,2747.0
336,TA,1976,1976,1568.0
216,TA,1910,1993,2052.0
379,TA,1915,1950,2445.0
900,Ex,2009,2009,4026.0
528,Gd,2006,2007,1875.0
757,Gd,1994,1995,3248.0
360,TA,1982,2006,1690.0
418,TA,1974,1975,2778.0
480,TA,1923,2006,1936.0
286,TA,1970,1970,1638.0
420,Gd,2003,2004,1696.0
308,TA,1960,1960,2538.0
288,TA,1962,1962,2184.0
539,Gd,1977,1994,3058.0
283,TA,1956,1956,1904.0
0,TA,1920,2008,2188.0
504,TA,1965,1965,2078.0
412,TA,1998,1998,2408.0
672,TA,1976,1976,2146.0
701,Gd,1990,1991,4354.0
328,TA,1977,1977,1970.0
880,Gd,2003,2004,4835.0
216,TA,1928,1950,2338.0
484,TA,1977,1977,1960.0
590,Gd,1992,2000,3390.0
180,Gd,1923,1996,2104.0
432,Gd,1966,1966,2898.0
836,Ex,2007,2008,3112.0
0,Fa,1936,1950,1064.0
840,Ex,2008,2009,3151.0
774,Ex,2008,2008,3864.0
404,TA,1960,1960,2582.0
280,TA,1967,1967,1782.0
786,Ex,2006,2007,
240,Ex,1880,1991,2386.0
834,Gd,1996,1997,3777.0
680,Ex,2009,2010,2742.0
532,Gd,2002,2003,3072.0
200,TA,1914,1950,1728.0
546,Gd,1992,1993,6428.0
670,Gd,2003,2003,3583.0
864,Gd,1880,2003,3880.0
530,TA,1970,1970,2986.0
878,Ex,2005,2005,3128.0
360,TA,1965,1965,1728.0
530,TA,1969,1969,2752.0
480,TA,1984,1985,
528,Gd,1920,2000,1880.0
451,Gd,1958,1958,2972.0
576,TA,1965,1965,3456.0
577,Gd,2002,2002,3159.0
297,TA,1956,1956,2392.0
360,TA,1941,1950,1523.0
462,TA,1969,1969,2400.0
1134,Ex,2005,2006,4174.0
617,Ex,2007,2007,3738.0
431,Gd,1998,1999,2816.0
308,TA,1949,1950,960.0
516,TA,1967,1967,1296.0
288,TA,1938,1958,1632.0
478,TA,1978,1978,
451,TA,2000,2000,2728.0
796,Gd,1993,1993,3858.0
796,TA,1959,1959,2288.0
621,TA,1921,1998,3213.0
312,Fa,1939,1950,2549.0
624,TA,1963,1963,1940.0
513,TA,1965,1965,4172.0
440,Gd,1969,2005,
0,TA,1947,2008,1396.0
576,Gd,1975,1975,3066.0
660,TA,1941,1950,1574.0
530,Gd,2004,2004,2782.0
240,Gd,1950,1996,2156.0
471,Gd,2001,2002,2563.0
301,TA,1958,1958,2884.0
0,TA,1911,1950,2904.0
644,Gd,2009,2009,3004.0
458,TA,1957,1957,2784.0
0,TA,1968,1968,3536.0
390,TA,1964,1964,3206.0
301,TA,1960,1998,1916.0
600,TA,1972,1972,1788.0
402,TA,1999,1999,2448.0
846,Ex,2007,2008,4014.0
430,Gd,2004,2005,2525.0
712,Gd,2006,2007,3508.0
390,Gd,2005,2006,2184.0
539,TA,1959,1959,1849.0
240,Gd,1953,2006,2016.0
430,Gd,2005,2006,2928.0
180,TA,1914,1950,2531.0
280,Gd,1930,1950,1745.0
400,Gd,2006,2007,1778.0
496,TA,1988,1988,2694.0
294,TA,1959,1959,882.0
0,Fa,1940,1966,2034.0
288,TA,1980,1980,1843.0
299,TA,1994,1994,1980.0
691,Gd,2004,2005,3569.0
420,Gd,2003,2003,1696.0
300,TA,1925,1950,2041.0
676,Gd,2009,2009,2436.0
672,TA,1922,1994,2759.0
550,Gd,2005,2005,2494.0
619,TA,1977,1995,4202.0
482,Gd,2008,2008,3252.0
546,TA,1977,1977,3688.0
689,Gd,2005,2005,3084.0
463,TA,2000,2000,2782.0
574,Gd,1993,1994,2999.0
0,TA,1972,1972,1260.0
530,Gd,2002,2002,2988.0
0,TA,1910,1950,
508,Gd,2005,2007,2548.0
364,TA,1955,1972,2676.0
528,TA,1977,1977,1945.0
393,Gd,2003,2003,2292.0
550,TA,1976,1976,2728.0
0,TA,1990,1990,1632.0
555,Gd,2003,2003,2376.0
548,TA,1954,1972,
528,TA,1960,1960,2736.0
240,Gd,1924,2006,1560.0
818,Gd,2007,2007,3388.0
765,Gd,2002,2002,3600.0
560,TA,1900,1950,2999.0
315,TA,1949,1950,2886.0
576,TA,1978,1978,1966.0
408,TA,1966,1966,1780.0
484,TA,1977,1977,2252.0
872,Gd,2004,2004,3604.0
540,TA,1969,1969,1926.0
288,TA,1968,1968,2104.0
0,TA,1924,1950,1668.0
484,TA,2005,2005,2282.0
484,TA,1972,1972,2522.0
660,Gd,1999,2000,2856.0
0,TA,1935,1982,1040.0
513,TA,1916,1950,1968.0
576,TA,1970,1989,4154.0
360,TA,1908,1997,3265.0
831,Gd,1976,1996,3857.0
484,Gd,2005,2005,2728.0
402,TA,1995,1996,2490.0
528,TA,1963,1963,2656.0
286,TA,1960,1978,2400.0
486,TA,1965,1990,2754.0
192,Fa,1916,1950,1904.0
500,Gd,2006,2006,3320.0
1166,Ex,2008,2009,4450.0
160,TA,1930,1950,1558.0
396,Gd,2007,2007,2680.0
480,Gd,1977,2001,3220.0
600,TA,1977,1977,3981.0
438,Gd,2005,2006,2496.0
288,Gd,1961,1996,1824.0
472,TA,1998,1998,
1356,TA,1961,1975,2871.0
180,Gd,1945,2002,3348.0
456,TA,1961,1961,2288.0
281,TA,1932,2000,2313.0
472,TA,1964,1964,3032.0
675,Gd,2006,2006,2996.0
560,Gd,2001,2002,2765.0
440,Gd,2006,2006,2184.0
349,TA,1940,1950,3435.0
708,Ex,2003,2004,3840.0
474,Gd,2005,2006,2736.0
588,Gd,1999,1999,2663.0
858,Ex,2008,2008,4165.0
312,TA,1948,1950,1991.0
604,TA,1988,1988,
577,Gd,1984,1984,3280.0
546,TA,1998,1998,2590.0
436,Gd,2007,2007,2604.0
542,Gd,1981,1981,5048.0
338,TA,1920,1950,2214.0
474,Gd,2003,2004,2390.0
240,TA,1940,1950,1769.0
588,Ex,2003,2004,
240,TA,1931,1950,2858.0
598,Gd,1998,1998,3310.0
432,TA,1932,1950,2845.0
324,TA,1920,1988,2132.0
564,Gd,1985,1985,3484.0
280,Fa,1918,1950,1936.0
528,TA,1934,1950,1632.0
506,Gd,1992,1992,2823.0
240,TA,1940,2000,2535.0
377,Gd,1955,1996,2653.0
552,TA,2009,2009,2767.0
534,Gd,2002,2002,3572.0
434,Gd,2003,2004,2775.0
336,TA,1968,1968,2210.0
440,TA,1978,1978,2311.0
431,Gd,1939,2006,2752.0
880,Gd,2005,2006,3896.0
665,Gd,1976,1976,4463.0
663,Gd,2000,2000,2488.0
0,TA,1991,1992,1948.0
586,Gd,2002,2002,3054.0
678,Gd,1993,1993,3177.0
500,TA,1990,1990,2866.0
720,TA,1920,1950,
240,TA,1925,1950,2846.0
583,TA,1972,1972,2808.0
666,Ex,2006,2006,3810.0
0,TA,1875,1996,1800.0
779,TA,1900,1950,2869.0
0,Fa,1922,1950,1587.0
490,Gd,2000,2000,2055.0
840,Ex,1892,1993,4143.0
205,Fa,1880,1950,3218.0
373,TA,1995,1996,2378.0
739,Gd,1971,2002,3467.0
304,TA,1968,1968,2112.0
392,TA,1924,1950,2005.0
504,TA,1961,1961,2724.0
420,Gd,2004,2004,1696.0
527,Gd,2001,2001,2888.0
628,Gd,2007,2007,
566,Gd,1936,1989,2262.0
691,Gd,1994,1994,3973.0
983,Gd,1993,1994,3729.0
626,Gd,2007,2008,2628.0
380,Gd,2004,2004,2679.0
0,TA,1971,1971,1890.0
0,Fa,1914,1995,4320.0
0,TA,1987,1988,2400.0
297,TA,1958,1985,1824.0
832,Ex,1994,1995,6760.0
548,Gd,2003,2003,2566.0
656,Ex,2003,2004,3555.0
234,Fa,1941,1950,2268.0
528,Fa,1959,1959,2932.0
292,TA,1960,1960,2766.0
410,TA,1979,1979,1535.0
576,TA,1995,1995,1980.0
240,TA,1941,1950,2564.0
440,Fa,1910,1950,2948.0
550,TA,1979,1979,2264.0
541,Gd,1992,2000,4555.0
576,TA,1969,1969,3064.0
240,TA,1936,1950,1996.0
480,Gd,2005,2005,1720.0
468,TA,1920,1997,2016.0
500,Gd,2003,2003,2508.0
400,TA,1950,1950,1040.0
576,Gd,1951,2000,1800.0
812,TA,1948,1973,3118.0
248,TA,1954,1954,1812.0
264,TA,1980,1980,
782,Gd,2005,2006,3104.0
642,Gd,1915,1970,
440,TA,1968,1993,3182.0
264,TA,1973,1973,1470.0
521,Gd,1995,1995,2400.0
281,TA,1949,2008,2484.0
336,TA,1965,2009,1788.0
336,TA,1960,2006,1771.0
528,Gd,1974,1974,2226.0
576,Gd,1959,2006,2350.0
459,TA,1963,1979,2433.0
721,Gd,1995,1995,3723.0
297,TA,1958,1998,2430.0
844,Gd,1994,1994,3691.0
480,Gd,2004,2005,1800.0
560,TA,1976,1976,3456.0
480,TA,1921,1950,2286.0
870,Gd,1997,1998,3788.0
457,Gd,1993,2003,2740.0
562,Gd,2007,2007,2478.0
792,Ex,2007,2007,3960.0
528,TA,1971,1971,1728.0
234,TA,1941,1950,1344.0
564,TA,1966,1966,2484.0
440,TA,1976,1976,
550,Gd,2004,2005,3420.0
502,Gd,1965,1999,2484.0
400,Gd,2003,2003,2729.0
576,TA,1936,1950,2466.0
766,TA,1988,1989,3866.0
0,TA,1926,1950,2016.0
0,TA,1954,1954,1124.0
484,TA,1973,1973,3197.0
461,TA,1965,1965,2428.0
454,TA,1955,1974,3542.0
808,Gd,2002,2003,3245.0
627,Gd,2006,2006,3108.0
642,Gd,1997,1997,3200.0
0,TA,1922,1950,1592.0
308,TA,1915,1976,2520.0
420,Gd,2003,2003,1696.0
528,TA,1976,1976,2284.0
564,TA,1960,1975,2854.0
564,Ex,2005,2005,3368.0
888,Gd,2004,2005,4000.0
834,Gd,2005,2005,3232.0
531,Ex,2001,2001,3171.0
225,TA,1928,1950,2618.0
575,Gd,1989,1989,2789.0
276,TA,1950,1950,1864.0
620,Gd,2005,2006,3688.0
528,Gd,1971,2004,2516.0
500,Ex,1996,1996,2548.0
866,Gd,2006,2006,3260.0
440,TA,1974,1974,
403,Gd,2004,2004,2121.0
478,Gd,1996,1996,3008.0
690,Gd,2006,2006,3340.0
518,Gd,1974,2003,3359.0
440,TA,1977,1977,2138.0
525,TA,2005,2006,1619.0
995,TA,1963,1963,3144.0
456,TA,1890,1996,2837.0
0,TA,1956,1956,1764.0
676,Gd,2005,2006,3844.0
352,TA,1972,1972,1560.0
300,TA,1958,1987,2134.0
430,Gd,2005,2005,3060.0
0,TA,1985,1985,1666.0
308,TA,1948,2002,1832.0
260,TA,1962,2010,2080.0
1052,Gd,2006,2007,4294.0
288,TA,1950,1950,2284.0
305,Gd,1959,1994,2492.0
180,TA,1926,2004,1788.0
416,TA,1915,1950,2338.0
288,TA,1949,1950,1868.0
342,TA,1928,1950,2809.0
484,Gd,2009,2010,
484,TA,1970,1970,3314.0
275,Fa,1918,2000,1654.0
390,Gd,1999,1999,3052.0
474,Gd,2003,2004,2390.0
299,TA,1969,1969,2015.0
240,TA,1941,1950,2144.0
